N=30633 d=3.7192471324942744e-14 a0=0.0 a1=3.10718881e8 a2=5.3978288e7 t0=0.0 t1=0.549271993 t2=0.029153333
N=30633 d=3.114175584073564e-14 a0=0.0 a1=3.10718865e8 a2=5.3978304e7 t0=0.0 t1=0.661231376 t2=0.022774769
N=30633 d=2.781108676686017e-14 a0=0.0 a1=3.10718897e8 a2=5.3978304e7 t0=0.0 t1=0.480481984 t2=0.022634281
N=30633 d=2.7901292387610965e-14 a0=0.0 a1=3.10718913e8 a2=5.3978256e7 t0=0.0 t1=0.469474188 t2=0.022786053
N=30633 d=3.175237850427948e-14 a0=0.0 a1=3.10718865e8 a2=5.3978256e7 t0=0.0 t1=0.472182005 t2=0.021774026
N=59762 d=4.035660694512444e-14 a0=0.0 a1=7.1640893e8 a2=1.27954704e8 t0=0.0 t1=0.998106257 t2=0.056403711
N=59762 d=4.75175454539567e-14 a0=0.0 a1=7.16408882e8 a2=1.27954752e8 t0=0.0 t1=0.810892754 t2=0.058148554
N=59762 d=4.721223412218478e-14 a0=0.0 a1=7.16408882e8 a2=1.27954752e8 t0=0.0 t1=0.784098553 t2=0.246488733
N=59762 d=4.374278717023117e-14 a0=0.0 a1=7.16408898e8 a2=1.27954704e8 t0=0.0 t1=0.589061961 t2=0.061453934
N=59762 d=5.6094018319186034e-14 a0=0.0 a1=7.16408882e8 a2=1.27954752e8 t0=0.0 t1=0.56090716 t2=0.053707474
N=120833 d=5.710709682915649e-14 a0=0.0 a1=1.677564385e9 a2=3.04605968e8 t0=0.0 t1=1.70171848 t2=0.339282596
N=120833 d=5.484501741648273e-14 a0=0.0 a1=1.677564417e9 a2=3.04605968e8 t0=0.0 t1=1.463716277 t2=0.142465021
N=120833 d=4.8405723873656825e-14 a0=0.0 a1=1.677564353e9 a2=3.04606e8 t0=0.0 t1=1.643127439 t2=0.143137482
N=120833 d=5.784261958297066e-14 a0=0.0 a1=1.677564353e9 a2=3.04606e8 t0=0.0 t1=1.643572211 t2=0.147066511
N=120833 d=4.730937863683948e-14 a0=0.0 a1=1.677564353e9 a2=3.04606e8 t0=0.0 t1=1.643567567 t2=0.142758073
N=235986 d=5.268008251846368e-14 a0=0.0 a1=3.64185529e9 a2=6.70416912e8 t0=0.0 t1=3.560501285 t2=0.504751726
N=235986 d=5.573319583618286e-14 a0=0.0 a1=3.64185529e9 a2=6.70416912e8 t0=0.0 t1=3.361001659 t2=0.509739712
N=235986 d=6.505906924303417e-14 a0=0.0 a1=3.641855274e9 a2=6.70416928e8 t0=0.0 t1=3.531092201 t2=0.324460137
N=235986 d=5.2735593669694936e-14 a0=0.0 a1=3.64185529e9 a2=6.70416912e8 t0=0.0 t1=3.542323027 t2=0.316278726
N=235986 d=5.295763827461997e-14 a0=0.0 a1=3.64185529e9 a2=6.70416912e8 t0=0.0 t1=3.343575466 t2=0.508529988
N=479579 d=6.80566714095221e-14 a0=0.0 a1=8.541736675e9 a2=1.598231696e9 t0=0.0 t1=9.547848958 t2=0.745831799
N=479579 d=6.955547249276606e-14 a0=0.0 a1=8.541736675e9 a2=1.598231696e9 t0=0.0 t1=9.056310854 t2=0.74467896
N=479579 d=7.427392034742297e-14 a0=0.0 a1=8.541736675e9 a2=1.598231696e9 t0=0.0 t1=8.998665911 t2=0.745921704
N=479579 d=5.839773109528323e-14 a0=0.0 a1=8.541736675e9 a2=1.598231696e9 t0=0.0 t1=8.994842912 t2=0.742605934
N=479579 d=6.405986852087153e-14 a0=0.0 a1=8.541736675e9 a2=1.598231696e9 t0=0.0 t1=8.994179816 t2=0.744493846
N=953078 d=8.637535131583718e-14 a0=0.0 a1=1.8958374678e10 a2=3.591925136e9 t0=0.0 t1=22.213611161 t2=1.65784718
N=953078 d=7.915890165577366e-14 a0=0.0 a1=1.8958374678e10 a2=3.591925136e9 t0=0.0 t1=21.800183053 t2=1.657560722
N=953078 d=9.681144774731365e-14 a0=0.0 a1=1.8958374678e10 a2=3.591925136e9 t0=0.0 t1=21.751393391 t2=1.654176278
N=953078 d=9.681144774731365e-14 a0=0.0 a1=1.8958374678e10 a2=3.591925136e9 t0=0.0 t1=21.75446904 t2=1.65541221
N=953078 d=8.071321389024888e-14 a0=0.0 a1=1.8958374678e10 a2=3.591925136e9 t0=0.0 t1=21.765672272 t2=1.656188325
N=1941892 d=1.2156942119645464e-13 a0=0.0 a1=4.4345023724e10 a2=8.487571344e9 t0=0.0 t1=58.102727981 t2=3.967349326
N=1941892 d=9.0427665355719e-14 a0=0.0 a1=4.4345023724e10 a2=8.487571344e9 t0=0.0 t1=58.24528348 t2=3.964357842
N=1941892 d=9.642286968869485e-14 a0=0.0 a1=4.4345023724e10 a2=8.487571344e9 t0=0.0 t1=58.255319722 t2=3.961074883
N=1941892 d=9.453549054683208e-14 a0=0.0 a1=4.4345023724e10 a2=8.487571344e9 t0=0.0 t1=58.235184151 t2=3.960946919
N=1941892 d=1.27675647831893e-13 a0=0.0 a1=4.4345023724e10 a2=8.487571344e9 t0=0.0 t1=58.29820044 t2=3.965364898
